Disease,Gene,Drug,SMILES,SideEffect,TargetClass,Pathway,ApprovedForDisease
Breast Cancer,Gene44,Memantine,SMILES499,SideEffect18,TargetClass16,Pathway8,0
Alzheimer's disease,Gene75,Trastuzumab,SMILES99,SideEffect34,TargetClass4,Pathway8,0
Lung Cancer,Gene33,Gefitinib,SMILES407,SideEffect38,TargetClass5,Pathway14,1
Parkinson's disease,Gene39,Carbidopa,SMILES46,SideEffect13,TargetClass10,Pathway7,1
Alzheimer's disease,Gene14,Memantine,SMILES496,SideEffect5,TargetClass1,Pathway10,1
Type 2 Diabetes,Gene86,Carbidopa,SMILES18,SideEffect5,TargetClass12,Pathway2,0
Breast Cancer,Gene49,Tamoxifen,SMILES488,SideEffect35,TargetClass7,Pathway11,1
Alzheimer's disease,Gene32,Memantine,SMILES54,SideEffect2,TargetClass18,Pathway1,1
Type 2 Diabetes,Gene63,Glipizide,SMILES87,SideEffect41,TargetClass2,Pathway12,1
Parkinson's disease,Gene73,Carbidopa,SMILES331,SideEffect43,TargetClass16,Pathway13,1
Depression,Gene66,Fluoxetine,SMILES141,SideEffect45,TargetClass9,Pathway9,1
Alzheimer's disease,Gene54,Donepezil,SMILES445,SideEffect8,TargetClass3,Pathway10,1
Alzheimer's disease,Gene14,Donepezil,SMILES273,SideEffect16,TargetClass9,Pathway3,1
Lung Cancer,Gene32,Gefitinib,SMILES356,SideEffect45,TargetClass19,Pathway5,1
Lung Cancer,Gene51,Molnupiravir,SMILES403,SideEffect21,TargetClass5,Pathway2,0
Depression,Gene90,Fluoxetine,SMILES471,SideEffect29,TargetClass8,Pathway3,1
Type 2 Diabetes,Gene85,Metformin,SMILES23,SideEffect1,TargetClass13,Pathway10,1
Parkinson's disease,Gene76,Carbidopa,SMILES5,SideEffect26,TargetClass13,Pathway8,1
Alzheimer's disease,Gene30,Memantine,SMILES282,SideEffect16,TargetClass13,Pathway7,1
Lung Cancer,Gene75,Erlotinib,SMILES58,SideEffect19,TargetClass18,Pathway12,1
Lung Cancer,Gene3,Erlotinib,SMILES188,SideEffect17,TargetClass4,Pathway9,1
Alzheimer's disease,Gene63,Donepezil,SMILES269,SideEffect25,TargetClass12,Pathway1,1
Depression,Gene55,Fluoxetine,SMILES167,SideEffect49,TargetClass1,Pathway3,1
Parkinson's disease,Gene67,Levodopa,SMILES319,SideEffect16,TargetClass2,Pathway13,1
Parkinson's disease,Gene81,Carbidopa,SMILES218,SideEffect2,TargetClass18,Pathway12,1
Type 2 Diabetes,Gene27,Erlotinib,SMILES303,SideEffect48,TargetClass6,Pathway2,0
Depression,Gene88,Sertraline,SMILES462,SideEffect23,TargetClass9,Pathway8,1
Type 2 Diabetes,Gene63,Metformin,SMILES234,SideEffect48,TargetClass2,Pathway1,1
Depression,Gene7,Fluoxetine,SMILES57,SideEffect16,TargetClass6,Pathway9,1
Parkinson's disease,Gene44,Levodopa,SMILES318,SideEffect19,TargetClass11,Pathway13,1
Type 2 Diabetes,Gene25,Memantine,SMILES405,SideEffect25,TargetClass19,Pathway7,0
Lung Cancer,Gene85,Erlotinib,SMILES413,SideEffect29,TargetClass17,Pathway11,1
Depression,Gene3,Fluoxetine,SMILES404,SideEffect5,TargetClass3,Pathway6,1
Alzheimer's disease,Gene14,Memantine,SMILES410,SideEffect46,TargetClass5,Pathway10,1
Type 2 Diabetes,Gene53,Metformin,SMILES196,SideEffect13,TargetClass5,Pathway12,1
Type 2 Diabetes,Gene74,Gefitinib,SMILES232,SideEffect35,TargetClass7,Pathway11,0
Parkinson's disease,Gene60,Carbidopa,SMILES57,SideEffect43,TargetClass3,Pathway6,1
Lung Cancer,Gene1,Gefitinib,SMILES361,SideEffect7,TargetClass3,Pathway4,1
COVID-19,Gene53,Molnupiravir,SMILES349,SideEffect10,TargetClass7,Pathway5,1
Breast Cancer,Gene70,Tamoxifen,SMILES417,SideEffect14,TargetClass1,Pathway9,1
Lung Cancer,Gene6,Gefitinib,SMILES63,SideEffect38,TargetClass18,Pathway14,1
Alzheimer's disease,Gene77,Donepezil,SMILES70,SideEffect43,TargetClass6,Pathway3,1
Breast Cancer,Gene15,Trastuzumab,SMILES130,SideEffect12,TargetClass4,Pathway3,1
Alzheimer's disease,Gene52,Memantine,SMILES420,SideEffect28,TargetClass14,Pathway10,1
COVID-19,Gene45,Molnupiravir,SMILES207,SideEffect40,TargetClass7,Pathway14,1
Parkinson's disease,Gene77,Levodopa,SMILES11,SideEffect46,TargetClass17,Pathway7,1
Type 2 Diabetes,Gene23,Erlotinib,SMILES407,SideEffect13,TargetClass7,Pathway9,0
COVID-19,Gene71,Remdesivir,SMILES326,SideEffect6,TargetClass12,Pathway6,1
Parkinson's disease,Gene6,Donepezil,SMILES40,SideEffect27,TargetClass13,Pathway5,0
Depression,Gene39,Molnupiravir,SMILES148,SideEffect26,TargetClass17,Pathway5,0
Alzheimer's disease,Gene90,Memantine,SMILES61,SideEffect26,TargetClass12,Pathway2,1
Type 2 Diabetes,Gene1,Glipizide,SMILES176,SideEffect22,TargetClass9,Pathway9,1
Depression,Gene14,Fluoxetine,SMILES469,SideEffect12,TargetClass10,Pathway14,1
Alzheimer's disease,Gene62,Memantine,SMILES95,SideEffect32,TargetClass4,Pathway13,1
Type 2 Diabetes,Gene64,Glipizide,SMILES198,SideEffect42,TargetClass8,Pathway5,1
COVID-19,Gene34,Remdesivir,SMILES353,SideEffect44,TargetClass10,Pathway8,1
Alzheimer's disease,Gene29,Donepezil,SMILES364,SideEffect46,TargetClass1,Pathway8,1
Breast Cancer,Gene39,Sertraline,SMILES149,SideEffect36,TargetClass14,Pathway12,0
COVID-19,Gene99,Molnupiravir,SMILES167,SideEffect31,TargetClass16,Pathway7,1
COVID-19,Gene22,Remdesivir,SMILES210,SideEffect16,TargetClass4,Pathway4,1
Breast Cancer,Gene44,Trastuzumab,SMILES238,SideEffect4,TargetClass10,Pathway9,1
Breast Cancer,Gene62,Tamoxifen,SMILES304,SideEffect30,TargetClass15,Pathway1,1
Breast Cancer,Gene74,Trastuzumab,SMILES8,SideEffect24,TargetClass9,Pathway4,1
Lung Cancer,Gene11,Gefitinib,SMILES411,SideEffect14,TargetClass16,Pathway14,1
Type 2 Diabetes,Gene65,Metformin,SMILES439,SideEffect28,TargetClass2,Pathway3,1
Alzheimer's disease,Gene6,Donepezil,SMILES84,SideEffect49,TargetClass8,Pathway13,1
COVID-19,Gene60,Remdesivir,SMILES236,SideEffect7,TargetClass15,Pathway3,1
Alzheimer's disease,Gene76,Glipizide,SMILES103,SideEffect36,TargetClass4,Pathway10,0
Parkinson's disease,Gene2,Carbidopa,SMILES64,SideEffect11,TargetClass19,Pathway4,1
Depression,Gene96,Metformin,SMILES307,SideEffect49,TargetClass7,Pathway14,0
COVID-19,Gene28,Remdesivir,SMILES387,SideEffect23,TargetClass8,Pathway3,1
Parkinson's disease,Gene75,Carbidopa,SMILES135,SideEffect18,TargetClass19,Pathway14,1
Lung Cancer,Gene41,Gefitinib,SMILES76,SideEffect42,TargetClass1,Pathway11,1
Depression,Gene23,Sertraline,SMILES359,SideEffect29,TargetClass19,Pathway6,1
Type 2 Diabetes,Gene39,Metformin,SMILES7,SideEffect14,TargetClass18,Pathway7,1
Breast Cancer,Gene35,Tamoxifen,SMILES274,SideEffect21,TargetClass4,Pathway13,1
Depression,Gene29,Fluoxetine,SMILES485,SideEffect28,TargetClass9,Pathway7,1
Breast Cancer,Gene76,Trastuzumab,SMILES35,SideEffect15,TargetClass5,Pathway12,1
Lung Cancer,Gene27,Gefitinib,SMILES263,SideEffect23,TargetClass17,Pathway3,1
Breast Cancer,Gene31,Levodopa,SMILES348,SideEffect28,TargetClass11,Pathway3,0
Depression,Gene24,Fluoxetine,SMILES58,SideEffect9,TargetClass4,Pathway10,1
Type 2 Diabetes,Gene48,Metformin,SMILES477,SideEffect35,TargetClass7,Pathway3,1
COVID-19,Gene36,Molnupiravir,SMILES54,SideEffect24,TargetClass4,Pathway5,1
Lung Cancer,Gene81,Donepezil,SMILES186,SideEffect14,TargetClass19,Pathway5,0
Lung Cancer,Gene2,Erlotinib,SMILES429,SideEffect31,TargetClass14,Pathway10,1
COVID-19,Gene29,Remdesivir,SMILES48,SideEffect2,TargetClass1,Pathway6,1
Breast Cancer,Gene52,Tamoxifen,SMILES3,SideEffect13,TargetClass7,Pathway6,1
Alzheimer's disease,Gene1,Memantine,SMILES128,SideEffect1,TargetClass13,Pathway14,1
Depression,Gene17,Levodopa,SMILES39,SideEffect48,TargetClass14,Pathway10,0
Parkinson's disease,Gene37,Levodopa,SMILES134,SideEffect7,TargetClass10,Pathway8,1
Parkinson's disease,Gene21,Carbidopa,SMILES492,SideEffect39,TargetClass10,Pathway2,1
Type 2 Diabetes,Gene1,Memantine,SMILES278,SideEffect31,TargetClass8,Pathway13,0
Alzheimer's disease,Gene68,Sertraline,SMILES4,SideEffect30,TargetClass2,Pathway13,0
Breast Cancer,Gene21,Tamoxifen,SMILES257,SideEffect5,TargetClass7,Pathway13,1
Lung Cancer,Gene60,Erlotinib,SMILES70,SideEffect37,TargetClass2,Pathway9,1
Breast Cancer,Gene61,Molnupiravir,SMILES21,SideEffect17,TargetClass7,Pathway14,0
Breast Cancer,Gene74,Trastuzumab,SMILES129,SideEffect7,TargetClass12,Pathway13,1
Type 2 Diabetes,Gene26,Metformin,SMILES78,SideEffect12,TargetClass16,Pathway5,1
Alzheimer's disease,Gene35,Memantine,SMILES142,SideEffect15,TargetClass6,Pathway7,1
Parkinson's disease,Gene47,Carbidopa,SMILES199,SideEffect40,TargetClass11,Pathway12,1
Alzheimer's disease,Gene8,Fluoxetine,SMILES391,SideEffect41,TargetClass2,Pathway9,0
COVID-19,Gene56,Molnupiravir,SMILES178,SideEffect18,TargetClass16,Pathway4,1
Lung Cancer,Gene23,Erlotinib,SMILES185,SideEffect21,TargetClass16,Pathway11,1
Type 2 Diabetes,Gene39,Donepezil,SMILES334,SideEffect15,TargetClass12,Pathway12,0
Depression,Gene70,Sertraline,SMILES241,SideEffect45,TargetClass13,Pathway7,1
Alzheimer's disease,Gene26,Molnupiravir,SMILES100,SideEffect5,TargetClass15,Pathway14,0
COVID-19,Gene41,Remdesivir,SMILES284,SideEffect26,TargetClass6,Pathway2,1
Depression,Gene53,Fluoxetine,SMILES149,SideEffect38,TargetClass2,Pathway11,1
Lung Cancer,Gene84,Erlotinib,SMILES34,SideEffect12,TargetClass1,Pathway8,1
Depression,Gene35,Memantine,SMILES419,SideEffect33,TargetClass5,Pathway10,0
Type 2 Diabetes,Gene58,Glipizide,SMILES259,SideEffect34,TargetClass13,Pathway2,1
Parkinson's disease,Gene22,Carbidopa,SMILES141,SideEffect15,TargetClass8,Pathway6,1
COVID-19,Gene94,Molnupiravir,SMILES325,SideEffect37,TargetClass10,Pathway8,1
Type 2 Diabetes,Gene59,Sertraline,SMILES291,SideEffect5,TargetClass18,Pathway12,0
Type 2 Diabetes,Gene97,Glipizide,SMILES101,SideEffect1,TargetClass7,Pathway14,1
Depression,Gene8,Sertraline,SMILES98,SideEffect47,TargetClass9,Pathway3,1
Lung Cancer,Gene25,Gefitinib,SMILES178,SideEffect45,TargetClass16,Pathway6,1
Breast Cancer,Gene75,Trastuzumab,SMILES66,SideEffect33,TargetClass13,Pathway14,1
Parkinson's disease,Gene27,Carbidopa,SMILES2,SideEffect30,TargetClass19,Pathway10,1
Depression,Gene69,Fluoxetine,SMILES416,SideEffect44,TargetClass1,Pathway7,1
Parkinson's disease,Gene15,Levodopa,SMILES245,SideEffect48,TargetClass9,Pathway13,1
Lung Cancer,Gene13,Erlotinib,SMILES53,SideEffect43,TargetClass1,Pathway8,1
Breast Cancer,Gene59,Trastuzumab,SMILES130,SideEffect2,TargetClass10,Pathway7,1
Lung Cancer,Gene69,Erlotinib,SMILES33,SideEffect45,TargetClass4,Pathway8,1
COVID-19,Gene18,Molnupiravir,SMILES421,SideEffect20,TargetClass4,Pathway4,1
Depression,Gene33,Sertraline,SMILES222,SideEffect32,TargetClass8,Pathway5,1
Type 2 Diabetes,Gene35,Metformin,SMILES198,SideEffect37,TargetClass5,Pathway1,1
COVID-19,Gene46,Erlotinib,SMILES66,SideEffect16,TargetClass5,Pathway6,0
Parkinson's disease,Gene50,Metformin,SMILES419,SideEffect46,TargetClass10,Pathway1,0
Lung Cancer,Gene72,Gefitinib,SMILES183,SideEffect43,TargetClass10,Pathway1,1
Breast Cancer,Gene36,Trastuzumab,SMILES441,SideEffect6,TargetClass4,Pathway1,1
COVID-19,Gene75,Molnupiravir,SMILES344,SideEffect29,TargetClass3,Pathway4,1
Parkinson's disease,Gene34,Sertraline,SMILES312,SideEffect38,TargetClass3,Pathway5,0
Parkinson's disease,Gene48,Levodopa,SMILES424,SideEffect39,TargetClass3,Pathway7,1
Depression,Gene46,Sertraline,SMILES145,SideEffect33,TargetClass3,Pathway1,1
Lung Cancer,Gene42,Memantine,SMILES430,SideEffect10,TargetClass1,Pathway7,0
Lung Cancer,Gene23,Erlotinib,SMILES325,SideEffect19,TargetClass3,Pathway1,1
Parkinson's disease,Gene84,Levodopa,SMILES119,SideEffect28,TargetClass16,Pathway1,1
Parkinson's disease,Gene87,Levodopa,SMILES373,SideEffect28,TargetClass2,Pathway9,1
Depression,Gene31,Fluoxetine,SMILES388,SideEffect29,TargetClass7,Pathway11,1
Type 2 Diabetes,Gene59,Metformin,SMILES173,SideEffect38,TargetClass6,Pathway11,1
COVID-19,Gene96,Fluoxetine,SMILES323,SideEffect20,TargetClass13,Pathway7,0
Breast Cancer,Gene37,Trastuzumab,SMILES468,SideEffect49,TargetClass10,Pathway5,1
Type 2 Diabetes,Gene66,Metformin,SMILES231,SideEffect7,TargetClass7,Pathway13,1
Parkinson's disease,Gene50,Carbidopa,SMILES360,SideEffect6,TargetClass13,Pathway12,1
Type 2 Diabetes,Gene74,Memantine,SMILES74,SideEffect8,TargetClass14,Pathway13,0
Type 2 Diabetes,Gene71,Metformin,SMILES90,SideEffect8,TargetClass11,Pathway13,1
Depression,Gene77,Remdesivir,SMILES362,SideEffect46,TargetClass12,Pathway12,0
Type 2 Diabetes,Gene41,Fluoxetine,SMILES464,SideEffect5,TargetClass7,Pathway13,0
COVID-19,Gene64,Remdesivir,SMILES448,SideEffect8,TargetClass17,Pathway4,1
Type 2 Diabetes,Gene59,Glipizide,SMILES291,SideEffect31,TargetClass15,Pathway11,1
Type 2 Diabetes,Gene89,Metformin,SMILES219,SideEffect30,TargetClass11,Pathway2,1
COVID-19,Gene51,Remdesivir,SMILES243,SideEffect23,TargetClass19,Pathway3,1
Parkinson's disease,Gene97,Carbidopa,SMILES68,SideEffect45,TargetClass12,Pathway11,1
COVID-19,Gene15,Remdesivir,SMILES461,SideEffect17,TargetClass8,Pathway2,1
Depression,Gene89,Fluoxetine,SMILES271,SideEffect7,TargetClass15,Pathway4,1
Parkinson's disease,Gene90,Carbidopa,SMILES347,SideEffect48,TargetClass17,Pathway12,1
COVID-19,Gene49,Molnupiravir,SMILES392,SideEffect37,TargetClass12,Pathway2,1
Alzheimer's disease,Gene48,Donepezil,SMILES298,SideEffect12,TargetClass13,Pathway4,1
Depression,Gene8,Sertraline,SMILES399,SideEffect27,TargetClass16,Pathway1,1
Lung Cancer,Gene41,Levodopa,SMILES438,SideEffect20,TargetClass12,Pathway3,0
Type 2 Diabetes,Gene77,Metformin,SMILES115,SideEffect18,TargetClass4,Pathway2,1
COVID-19,Gene98,Remdesivir,SMILES31,SideEffect12,TargetClass12,Pathway9,1
COVID-19,Gene80,Molnupiravir,SMILES72,SideEffect16,TargetClass11,Pathway6,1
Lung Cancer,Gene53,Erlotinib,SMILES8,SideEffect25,TargetClass8,Pathway8,1
Depression,Gene66,Sertraline,SMILES75,SideEffect39,TargetClass6,Pathway12,1
Type 2 Diabetes,Gene75,Metformin,SMILES267,SideEffect24,TargetClass14,Pathway13,1
Type 2 Diabetes,Gene13,Metformin,SMILES389,SideEffect25,TargetClass10,Pathway5,1
Depression,Gene30,Sertraline,SMILES121,SideEffect16,TargetClass12,Pathway1,1
Breast Cancer,Gene69,Trastuzumab,SMILES99,SideEffect12,TargetClass4,Pathway5,1
Type 2 Diabetes,Gene25,Glipizide,SMILES140,SideEffect33,TargetClass9,Pathway1,1
Alzheimer's disease,Gene89,Glipizide,SMILES108,SideEffect30,TargetClass16,Pathway4,0
Type 2 Diabetes,Gene93,Metformin,SMILES128,SideEffect13,TargetClass2,Pathway7,1
Breast Cancer,Gene48,Trastuzumab,SMILES424,SideEffect38,TargetClass3,Pathway8,1
Parkinson's disease,Gene34,Levodopa,SMILES29,SideEffect38,TargetClass15,Pathway8,1
Lung Cancer,Gene32,Gefitinib,SMILES98,SideEffect12,TargetClass11,Pathway2,1
Breast Cancer,Gene8,Tamoxifen,SMILES74,SideEffect23,TargetClass13,Pathway8,1
Parkinson's disease,Gene24,Levodopa,SMILES381,SideEffect34,TargetClass7,Pathway13,1
Type 2 Diabetes,Gene72,Metformin,SMILES417,SideEffect12,TargetClass3,Pathway2,1
Lung Cancer,Gene86,Gefitinib,SMILES294,SideEffect17,TargetClass18,Pathway8,1
COVID-19,Gene8,Remdesivir,SMILES479,SideEffect48,TargetClass15,Pathway13,1
COVID-19,Gene82,Remdesivir,SMILES258,SideEffect29,TargetClass15,Pathway4,1
Depression,Gene29,Sertraline,SMILES335,SideEffect17,TargetClass16,Pathway10,1
Type 2 Diabetes,Gene76,Levodopa,SMILES35,SideEffect48,TargetClass1,Pathway4,0
Parkinson's disease,Gene74,Gefitinib,SMILES311,SideEffect19,TargetClass2,Pathway4,0
Alzheimer's disease,Gene88,Memantine,SMILES244,SideEffect31,TargetClass10,Pathway11,1
COVID-19,Gene62,Molnupiravir,SMILES403,SideEffect43,TargetClass15,Pathway8,1
Breast Cancer,Gene24,Trastuzumab,SMILES40,SideEffect33,TargetClass9,Pathway10,1
Type 2 Diabetes,Gene32,Metformin,SMILES446,SideEffect28,TargetClass18,Pathway7,1
Alzheimer's disease,Gene12,Memantine,SMILES233,SideEffect23,TargetClass11,Pathway1,1
Alzheimer's disease,Gene35,Memantine,SMILES37,SideEffect47,TargetClass15,Pathway4,1
Parkinson's disease,Gene58,Carbidopa,SMILES22,SideEffect44,TargetClass17,Pathway11,1
Lung Cancer,Gene4,Gefitinib,SMILES231,SideEffect5,TargetClass11,Pathway13,1
Depression,Gene27,Fluoxetine,SMILES217,SideEffect46,TargetClass3,Pathway11,1
COVID-19,Gene55,Remdesivir,SMILES337,SideEffect46,TargetClass11,Pathway10,1
COVID-19,Gene2,Molnupiravir,SMILES202,SideEffect37,TargetClass9,Pathway3,1
Alzheimer's disease,Gene63,Memantine,SMILES25,SideEffect38,TargetClass5,Pathway5,1
Breast Cancer,Gene96,Glipizide,SMILES369,SideEffect38,TargetClass15,Pathway3,0
Type 2 Diabetes,Gene50,Glipizide,SMILES152,SideEffect19,TargetClass4,Pathway12,1
Parkinson's disease,Gene82,Levodopa,SMILES115,SideEffect44,TargetClass12,Pathway2,1
Parkinson's disease,Gene28,Levodopa,SMILES131,SideEffect45,TargetClass2,Pathway6,1
Alzheimer's disease,Gene80,Donepezil,SMILES174,SideEffect32,TargetClass7,Pathway1,1
Depression,Gene2,Fluoxetine,SMILES329,SideEffect44,TargetClass13,Pathway14,1
Depression,Gene30,Sertraline,SMILES57,SideEffect23,TargetClass1,Pathway1,1
Depression,Gene75,Glipizide,SMILES288,SideEffect45,TargetClass6,Pathway8,0
Type 2 Diabetes,Gene71,Glipizide,SMILES288,SideEffect47,TargetClass1,Pathway12,1
Lung Cancer,Gene80,Erlotinib,SMILES126,SideEffect39,TargetClass3,Pathway10,1
Parkinson's disease,Gene74,Levodopa,SMILES433,SideEffect45,TargetClass16,Pathway9,1
COVID-19,Gene84,Molnupiravir,SMILES423,SideEffect3,TargetClass5,Pathway1,1
Parkinson's disease,Gene40,Levodopa,SMILES268,SideEffect46,TargetClass17,Pathway14,1
Depression,Gene67,Sertraline,SMILES125,SideEffect17,TargetClass7,Pathway10,1
Parkinson's disease,Gene4,Carbidopa,SMILES480,SideEffect28,TargetClass6,Pathway14,1
Type 2 Diabetes,Gene57,Glipizide,SMILES97,SideEffect10,TargetClass4,Pathway7,1
Parkinson's disease,Gene8,Carbidopa,SMILES83,SideEffect10,TargetClass1,Pathway5,1
COVID-19,Gene9,Fluoxetine,SMILES85,SideEffect11,TargetClass5,Pathway3,0
Type 2 Diabetes,Gene35,Glipizide,SMILES87,SideEffect6,TargetClass4,Pathway2,1
Lung Cancer,Gene7,Erlotinib,SMILES417,SideEffect48,TargetClass2,Pathway1,1
Lung Cancer,Gene94,Molnupiravir,SMILES64,SideEffect22,TargetClass13,Pathway7,0
COVID-19,Gene15,Remdesivir,SMILES481,SideEffect25,TargetClass17,Pathway1,1
Type 2 Diabetes,Gene90,Glipizide,SMILES175,SideEffect42,TargetClass7,Pathway10,1
Parkinson's disease,Gene43,Levodopa,SMILES148,SideEffect48,TargetClass2,Pathway4,1
Lung Cancer,Gene80,Gefitinib,SMILES458,SideEffect34,TargetClass11,Pathway10,1
Depression,Gene43,Molnupiravir,SMILES142,SideEffect45,TargetClass4,Pathway6,0
Type 2 Diabetes,Gene40,Metformin,SMILES233,SideEffect36,TargetClass17,Pathway10,1
Type 2 Diabetes,Gene89,Metformin,SMILES424,SideEffect40,TargetClass17,Pathway11,1
Alzheimer's disease,Gene53,Memantine,SMILES344,SideEffect10,TargetClass17,Pathway13,1
COVID-19,Gene22,Remdesivir,SMILES474,SideEffect27,TargetClass6,Pathway9,1
Alzheimer's disease,Gene34,Donepezil,SMILES362,SideEffect10,TargetClass17,Pathway11,1
Parkinson's disease,Gene97,Levodopa,SMILES459,SideEffect13,TargetClass1,Pathway1,1
Parkinson's disease,Gene73,Levodopa,SMILES369,SideEffect7,TargetClass3,Pathway6,1
Depression,Gene82,Sertraline,SMILES472,SideEffect28,TargetClass11,Pathway1,1
Type 2 Diabetes,Gene84,Glipizide,SMILES52,SideEffect25,TargetClass10,Pathway1,1
Parkinson's disease,Gene56,Levodopa,SMILES435,SideEffect21,TargetClass3,Pathway12,1
Type 2 Diabetes,Gene11,Metformin,SMILES399,SideEffect30,TargetClass6,Pathway12,1
Alzheimer's disease,Gene91,Erlotinib,SMILES52,SideEffect34,TargetClass13,Pathway5,0
Depression,Gene67,Sertraline,SMILES440,SideEffect24,TargetClass17,Pathway5,1
Depression,Gene10,Tamoxifen,SMILES189,SideEffect43,TargetClass5,Pathway2,0
COVID-19,Gene65,Remdesivir,SMILES160,SideEffect25,TargetClass16,Pathway13,1
Lung Cancer,Gene64,Donepezil,SMILES17,SideEffect9,TargetClass9,Pathway1,0
COVID-19,Gene43,Remdesivir,SMILES317,SideEffect10,TargetClass11,Pathway4,1
Depression,Gene32,Sertraline,SMILES425,SideEffect15,TargetClass6,Pathway9,1
Depression,Gene95,Fluoxetine,SMILES325,SideEffect27,TargetClass12,Pathway12,1
Breast Cancer,Gene4,Trastuzumab,SMILES13,SideEffect9,TargetClass17,Pathway2,1
Parkinson's disease,Gene22,Carbidopa,SMILES266,SideEffect8,TargetClass9,Pathway7,1
Depression,Gene77,Fluoxetine,SMILES348,SideEffect7,TargetClass16,Pathway8,1
Depression,Gene93,Sertraline,SMILES359,SideEffect17,TargetClass19,Pathway3,1
Type 2 Diabetes,Gene14,Glipizide,SMILES290,SideEffect33,TargetClass5,Pathway1,1
Type 2 Diabetes,Gene67,Tamoxifen,SMILES109,SideEffect47,TargetClass19,Pathway3,0
Parkinson's disease,Gene20,Carbidopa,SMILES8,SideEffect29,TargetClass8,Pathway10,1
Alzheimer's disease,Gene84,Donepezil,SMILES365,SideEffect2,TargetClass13,Pathway9,1
Type 2 Diabetes,Gene56,Metformin,SMILES181,SideEffect44,TargetClass16,Pathway14,1
Parkinson's disease,Gene19,Carbidopa,SMILES75,SideEffect40,TargetClass14,Pathway8,1
Alzheimer's disease,Gene35,Donepezil,SMILES404,SideEffect17,TargetClass13,Pathway13,1
Parkinson's disease,Gene20,Levodopa,SMILES83,SideEffect29,TargetClass13,Pathway6,1
Depression,Gene47,Sertraline,SMILES496,SideEffect11,TargetClass2,Pathway10,1
Parkinson's disease,Gene18,Levodopa,SMILES465,SideEffect45,TargetClass12,Pathway7,1
COVID-19,Gene15,Remdesivir,SMILES29,SideEffect36,TargetClass10,Pathway12,1
Lung Cancer,Gene14,Gefitinib,SMILES465,SideEffect44,TargetClass17,Pathway6,1
Lung Cancer,Gene94,Gefitinib,SMILES214,SideEffect24,TargetClass10,Pathway8,1
Parkinson's disease,Gene24,Carbidopa,SMILES61,SideEffect46,TargetClass18,Pathway6,1
Depression,Gene67,Fluoxetine,SMILES192,SideEffect4,TargetClass5,Pathway2,1
Parkinson's disease,Gene28,Molnupiravir,SMILES394,SideEffect2,TargetClass17,Pathway10,0
Breast Cancer,Gene32,Trastuzumab,SMILES262,SideEffect30,TargetClass5,Pathway13,1
Type 2 Diabetes,Gene13,Glipizide,SMILES106,SideEffect49,TargetClass3,Pathway7,1
Lung Cancer,Gene92,Erlotinib,SMILES362,SideEffect28,TargetClass9,Pathway10,1
COVID-19,Gene9,Remdesivir,SMILES58,SideEffect24,TargetClass7,Pathway12,1
Parkinson's disease,Gene17,Levodopa,SMILES474,SideEffect41,TargetClass4,Pathway3,1
Parkinson's disease,Gene46,Carbidopa,SMILES212,SideEffect40,TargetClass18,Pathway4,1
Type 2 Diabetes,Gene66,Glipizide,SMILES321,SideEffect48,TargetClass19,Pathway4,1
Lung Cancer,Gene93,Erlotinib,SMILES441,SideEffect2,TargetClass14,Pathway2,1
COVID-19,Gene19,Molnupiravir,SMILES413,SideEffect22,TargetClass14,Pathway4,1
Alzheimer's disease,Gene35,Memantine,SMILES421,SideEffect12,TargetClass8,Pathway8,1
Alzheimer's disease,Gene67,Donepezil,SMILES420,SideEffect25,TargetClass4,Pathway11,1
Alzheimer's disease,Gene84,Memantine,SMILES462,SideEffect33,TargetClass3,Pathway11,1
